순위,상품번호,구분,도서명,저자,출판사,출간일,할인율,판매가,정가,포인트,판매지수,평점,배송정보,출간연도,출간월,평점_수치,종이책_리뷰_수,eBook_리뷰_수,종이책_한줄평_수,eBook_한줄평_수,총_리뷰_수
514,191486587,도서,거의 모든 일상 표현의 일본어,"케빈 강, TJL 콘텐츠 연구소 저",사람in,2026년 06월,10,21600,24000.0,1200,5763,,,2026,6,,0.0,0.0,0.0,0.0,0.0
515,191479739,도서,쉽고 재밌는 초등 영재 플랩북 뉴욕부터 파리까지 세계의 대도시,롭 로이드 존스 글/데이비드 핸콕 외 그림/송지혜 역,어스본코리아,2026년 06월,10,14400,16000.0,800,3297,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (2건) eBook 리뷰 (0건) 종이책 한줄평 (99건) eBook 한줄평 (0건),,2026,6,10.0,2.0,0.0,99.0,0.0,101.0
516,191298273,도서,성정혜 영어 독해 GS 전략,성정혜 편저,제이엔비인싸이트,2026년 06월,10,19800,22000.0,1100,4584,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (2건) eBook 리뷰 (0건) 종이책 한줄평 (2건) eBook 한줄평 (0건),,2026,6,10.0,2.0,0.0,2.0,0.0,4.0
517,191191321,만화,바닷바람과 용의 보금자리 2,시마 아사토 글그림,학산문화사,2026년 06월,10,6300,7000.0,350,14571,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (2건) eBook 리뷰 (0건) 종이책 한줄평 (3건) eBook 한줄평 (0건),,2026,6,10.0,2.0,0.0,3.0,0.0,5.0
518,190978913,도서,상상 속의 삶,앤드루 포터 저/민은영 역,문학동네,2026년 06월,10,17820,19800.0,990,11730,리뷰 총점9.7 정보 더 보기/감추기 종이책 리뷰 (6건) eBook 리뷰 (0건) 종이책 한줄평 (5건) eBook 한줄평 (1건),,2026,6,9.7,6.0,0.0,5.0,1.0,12.0
519,190803601,도서,2차전지 투자 전략,파란부기 저,경향비피,2026년 07월,10,16920,18800.0,940,6876,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (0건) eBook 리뷰 (0건) 종이책 한줄평 (1건) eBook 한줄평 (0건),,2026,7,10.0,0.0,0.0,1.0,0.0,1.0
520,190267061,만화,캐릭캐릭 체인지! Jewel Joker 주얼 조커 3,PEACH-PIT 글그림/김수연 역,서울미디어코믹스(서울문화사),2026년 05월,10,5850,6500.0,320,42663,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (21건) eBook 리뷰 (0건) 종이책 한줄평 (29건) eBook 한줄평 (0건),,2026,5,10.0,21.0,0.0,29.0,0.0,50.0
521,190214345,도서,사람의 마지막 직업,앨리슨 J. 퓨 저/김재경 역,추수밭,2026년 06월,10,25200,28000.0,1400,9639,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (8건) eBook 리뷰 (0건) 종이책 한줄평 (1건) eBook 한줄평 (0건),,2026,6,10.0,8.0,0.0,1.0,0.0,9.0
522,190213283,도서,똑똑하게 소리 내어 읽는 문해력 2. 문학,이다희 저/조성호 그림,서사원주니어,2026년 06월,10,9900,11000.0,550,5616,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (32건) eBook 리뷰 (0건) 종이책 한줄평 (1건) eBook 한줄평 (0건),,2026,6,10.0,32.0,0.0,1.0,0.0,33.0
523,190211812,도서,쉽게 읽고 보는 위대한 질문 도감,정상영 글/신응섭 그림,진선아이,2026년 06월,10,11700,13000.0,650,4926,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (55건) eBook 리뷰 (0건) 종이책 한줄평 (1건) eBook 한줄평 (0건),,2026,6,10.0,55.0,0.0,1.0,0.0,56.0
524,190136349,도서,감정사회,마렌 우르너 저/마정현 역,다람,2026년 06월,10,16920,18800.0,940,4413,,,2026,6,,0.0,0.0,0.0,0.0,0.0
525,189679764,도서,미라클 에디팅,디에디트 저,북스톤,2026년 06월,10,19800,22000.0,1100,8544,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (2건) eBook 리뷰 (0건) 종이책 한줄평 (1건) eBook 한줄평 (0건),,2026,6,10.0,2.0,0.0,1.0,0.0,3.0
526,189599083,도서,산곡미풍,위화 저/백도라지 역,푸른숲,2026년 05월,10,16200,18000.0,900,12063,리뷰 총점9.8 정보 더 보기/감추기 종이책 리뷰 (29건) eBook 리뷰 (0건) 종이책 한줄평 (8건) eBook 한줄평 (0건),,2026,5,9.8,29.0,0.0,8.0,0.0,37.0
527,189440981,도서,반짝이는 안녕,황영미 저,우리학교,2026년 05월,10,13500,15000.0,750,8691,리뷰 총점9.7 정보 더 보기/감추기 종이책 리뷰 (11건) eBook 리뷰 (0건) 종이책 한줄평 (1건) eBook 한줄평 (0건),,2026,5,9.7,11.0,0.0,1.0,0.0,12.0
528,189349397,도서,미루지 않는 뇌,스가와라 미치히토 저/김동희 역,영진닷컴,2026년 05월,10,15300,17000.0,850,3504,리뷰 총점9.9 정보 더 보기/감추기 종이책 리뷰 (28건) eBook 리뷰 (0건) 종이책 한줄평 (7건) eBook 한줄평 (0건),,2026,5,9.9,28.0,0.0,7.0,0.0,35.0
529,189187560,도서,AI 격차,"강협, 김종우, 김용담, 강수진 저",도서담,2026년 06월,10,19800,22000.0,1100,11793,,,2026,6,,0.0,0.0,0.0,0.0,0.0
530,189182765,도서,COMPACT 형법,김기용 저,타임노트,2026년 05월,0,34000,34000.0,0,6030,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (0건) eBook 리뷰 (0건) 종이책 한줄평 (1건) eBook 한줄평 (0건),,2026,5,10.0,0.0,0.0,1.0,0.0,1.0
531,188943008,도서,흔한남매 이상한 나라의 고전 읽기 9,"최재훈 글/정주연 그림/흔한남매, 흔한컴퍼니 감수",미래엔아이세움,2026년 05월,10,15120,16800.0,840,12054,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (41건) eBook 리뷰 (0건) 종이책 한줄평 (6건) eBook 한줄평 (0건),,2026,5,10.0,41.0,0.0,6.0,0.0,47.0
532,188930638,도서,2026 써니 행정법각론 기본서,박준철 편저,공단기(에스티유니타스),2026년 05월,10,21600,24000.0,240,3399,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (3건) eBook 리뷰 (0건) 종이책 한줄평 (5건) eBook 한줄평 (0건),,2026,5,10.0,3.0,0.0,5.0,0.0,8.0
533,188017874,도서,읽으면서 바로 써먹는 어린이 낱말 퍼즐,한날 글그림,파란정원,2026년 04월,10,11700,13000.0,650,27930,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (13건) eBook 리뷰 (0건) 종이책 한줄평 (13건) eBook 한줄평 (0건),,2026,4,10.0,13.0,0.0,13.0,0.0,26.0
534,188012260,도서,2027 심우철 영기싹 하프 모의고사,심우철 저,공단기(에스티유니타스),2026년 04월,10,10800,12000.0,120,8268,,,2026,4,,0.0,0.0,0.0,0.0,0.0
535,187023596,도서,"원큐패스 서경석 한국사능력검정시험 심화 기출문제집 (저자 직강 무료 동영상, 제77회 기출문제 수록)",서경석 저,다락원,2026년 04월,10,16200,18000.0,900,11991,리뷰 총점9.9 정보 더 보기/감추기 종이책 리뷰 (14건) eBook 리뷰 (0건) 종이책 한줄평 (5건) eBook 한줄평 (0건),,2026,4,9.9,14.0,0.0,5.0,0.0,19.0
536,184397059,도서,아홉 살에 시작하는 똑똑한 초등신문 4,신효원 글,책장속북스,2026년 05월,10,17550,19500.0,970,23562,리뷰 총점9.9 정보 더 보기/감추기 종이책 리뷰 (63건) eBook 리뷰 (0건) 종이책 한줄평 (14건) eBook 한줄평 (0건),,2026,5,9.9,63.0,0.0,14.0,0.0,77.0
537,183914813,도서,JLPT(일본어능력시험) 한권으로 끝내기 N3,"이치우, 기타지마 치즈코, 김윤선, 도리이 마이코 저",다락원,2026년 04월,10,25200,28000.0,1400,22008,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (1건) eBook 리뷰 (0건) 종이책 한줄평 (4건) eBook 한줄평 (0건),,2026,4,10.0,1.0,0.0,4.0,0.0,5.0
538,183802431,도서,투자 불패의 법칙,배리 리트홀츠 저/이영래 역,인플루엔셜,2026년 03월,10,26820,29800.0,1490,18396,리뷰 총점9.9 정보 더 보기/감추기 종이책 리뷰 (29건) eBook 리뷰 (2건) 종이책 한줄평 (15건) eBook 한줄평 (2건),,2026,3,9.9,29.0,2.0,15.0,2.0,48.0
539,183185337,도서,할 수 있다! AI 주식 투자,머신러너 저,에프엔미디어,2026년 04월,10,22500,25000.0,1250,26952,리뷰 총점8.5 정보 더 보기/감추기 종이책 리뷰 (16건) eBook 리뷰 (0건) 종이책 한줄평 (9건) eBook 한줄평 (3건),,2026,4,8.5,16.0,0.0,9.0,3.0,28.0
540,182639140,도서,평생 월 500만 원 받는 월배당 ETF,배당의만장 저,노티스,2026년 03월,10,20700,23000.0,1150,51723,리뷰 총점9.9 정보 더 보기/감추기 종이책 리뷰 (28건) eBook 리뷰 (0건) 종이책 한줄평 (18건) eBook 한줄평 (3건),,2026,3,9.9,28.0,0.0,18.0,3.0,49.0
541,182625680,도서,2026 시대에듀 투자자산운용사 실제유형 모의고사 + 특별부록 PASSCODE Premium Plus ver 2.0,유창호 편저,시대고시기획 시대교육,2026년 04월,10,49500,55000.0,2750,18234,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (14건) eBook 리뷰 (0건) 종이책 한줄평 (4건) eBook 한줄평 (0건),,2026,4,10.0,14.0,0.0,4.0,0.0,18.0
542,182624787,도서,도시는 무엇으로 사는가,유현준 저,을유문화사,2026년 03월,10,18000,20000.0,1000,19989,리뷰 총점9.5 정보 더 보기/감추기 종이책 리뷰 (18건) eBook 리뷰 (1건) 종이책 한줄평 (6건) eBook 한줄평 (1건),,2026,3,9.5,18.0,1.0,6.0,1.0,26.0
543,182437413,도서,JLPT(일본어능력시험) 한권으로 끝내기 N1,"이치우, 기타지마 치즈코, 김성곤 저",다락원,2026년 03월,10,25200,28000.0,1400,14376,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (4건) eBook 리뷰 (0건) 종이책 한줄평 (5건) eBook 한줄평 (1건),,2026,3,10.0,4.0,0.0,5.0,1.0,10.0
544,182300211,도서,모든 날들이 행복했으면 좋겠어,갱여운 저,하이스트,2026년 03월,10,16920,18800.0,940,21846,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (16건) eBook 리뷰 (0건) 종이책 한줄평 (1건) eBook 한줄평 (0건),,2026,3,10.0,16.0,0.0,1.0,0.0,17.0
545,181126101,도서,2026 김건호 행정법각론 비교불가 행정법각론 기출지문 OX,김건호 저,(주)박영사,2026년 03월,0,17000,17000.0,510,5580,리뷰 총점9.5 정보 더 보기/감추기 종이책 리뷰 (7건) eBook 리뷰 (0건) 종이책 한줄평 (5건) eBook 한줄평 (0건),,2026,3,9.5,7.0,0.0,5.0,0.0,12.0
546,177867013,도서,2026 이기적 CPPG 개인정보관리사 기출 900제,"이제이, 박재웅 저",영진닷컴,2026년 03월,10,25200,28000.0,1400,3303,리뷰 총점9.8 정보 더 보기/감추기 종이책 리뷰 (7건) eBook 리뷰 (1건) 종이책 한줄평 (0건) eBook 한줄평 (0건),,2026,3,9.8,7.0,1.0,0.0,0.0,8.0
547,177134797,도서,2026 해커스경찰 박철한 경찰헌법 실전동형모의고사 (경찰공무원),박철한 편저,해커스경찰,2026년 02월,5,24700,26000.0,780,9012,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (14건) eBook 리뷰 (0건) 종이책 한줄평 (0건) eBook 한줄평 (0건),,2026,2,10.0,14.0,0.0,0.0,0.0,14.0
548,177078745,도서,2026 시나공 정보처리기사 실기 기본서,"길벗알앤디, 김정준 저",길벗,2026년 02월,10,36000,40000.0,2000,13788,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (2건) eBook 리뷰 (0건) 종이책 한줄평 (11건) eBook 한줄평 (0건),,2026,2,10.0,2.0,0.0,11.0,0.0,13.0
549,176915676,도서,똑똑하게 소리 내어 읽는 문해력 1 : 생활문,이다희 저,서사원주니어,2026년 02월,10,9900,11000.0,550,6426,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (25건) eBook 리뷰 (0건) 종이책 한줄평 (2건) eBook 한줄평 (0건),,2026,2,10.0,25.0,0.0,2.0,0.0,27.0
550,171432215,도서,뇌는 어떻게 나를 조종하는가,크리스 나이바우어 저/김윤종 역,클랩북스,2026년 01월,10,16920,18800.0,940,52374,리뷰 총점9.4 정보 더 보기/감추기 종이책 리뷰 (49건) eBook 리뷰 (1건) 종이책 한줄평 (36건) eBook 한줄평 (15건),,2026,1,9.4,49.0,1.0,36.0,15.0,101.0
551,169902356,도서,캔들차트 하나로 끝내는 추세추종 투자,성승현 저,포르체,2026년 01월,10,22500,25000.0,1250,96411,리뷰 총점8.7 정보 더 보기/감추기 종이책 리뷰 (31건) eBook 리뷰 (0건) 종이책 한줄평 (38건) eBook 한줄평 (0건),,2026,1,8.7,31.0,0.0,38.0,0.0,69.0
552,167627172,도서,흔한남매 21,흔한남매 원저/백난도 글/유난희 그림/흔한컴퍼니 감수,미래엔아이세움,2025년 12월,10,15120,16800.0,840,134313,리뷰 총점9.7 정보 더 보기/감추기 종이책 리뷰 (80건) eBook 리뷰 (0건) 종이책 한줄평 (80건) eBook 한줄평 (0건),,2025,12,9.7,80.0,0.0,80.0,0.0,160.0
553,166577463,도서,죽은 왕녀를 위한 파반느 (양장 특별판),박민규 저,위즈덤하우스,2025년 11월,10,18000,20000.0,1000,108618,리뷰 총점9.3 정보 더 보기/감추기 종이책 리뷰 (68건) eBook 리뷰 (0건) 종이책 한줄평 (68건) eBook 한줄평 (49건),,2025,11,9.3,68.0,0.0,68.0,49.0,185.0
554,160408776,도서,대형주 추세추종 투자법칙,이종호(전황) 저,사피엔테스,2025년 11월,10,19800,22000.0,1100,161268,리뷰 총점9.5 정보 더 보기/감추기 종이책 리뷰 (40건) eBook 리뷰 (2건) 종이책 한줄평 (84건) eBook 한줄평 (9건),,2025,11,9.5,40.0,2.0,84.0,9.0,135.0
555,159493426,만화,원피스 ONE PIECE 112,오다 에이이치로 글그림,대원,2025년 10월,10,5400,6000.0,300,55518,리뷰 총점9.8 정보 더 보기/감추기 종이책 리뷰 (54건) eBook 리뷰 (19건) 종이책 한줄평 (99건) eBook 한줄평 (38건),,2025,10,9.8,54.0,19.0,99.0,38.0,210.0
556,153819536,도서,신상문구점,김선영 글,특별한서재,2025년 09월,10,12600,14000.0,700,51591,리뷰 총점9.8 정보 더 보기/감추기 종이책 리뷰 (74건) eBook 리뷰 (0건) 종이책 한줄평 (12건) eBook 한줄평 (0건),,2025,9,9.8,74.0,0.0,12.0,0.0,86.0
557,153712912,도서,2026 에듀윌 산업안전기사 필기 한권끝장 [이론편+기출문제편],최창률 저,에듀윌,2025년 09월,10,34200,38000.0,1900,37620,리뷰 총점9.6 정보 더 보기/감추기 종이책 리뷰 (19건) eBook 리뷰 (0건) 종이책 한줄평 (9건) eBook 한줄평 (0건),,2025,9,9.6,19.0,0.0,9.0,0.0,28.0
558,153170791,도서,미술관 여행자를 위한 도슨트 북,카미유 주노 저/이세진 역,윌북(willbook),2025년 10월,10,29700,33000.0,1650,70410,리뷰 총점9.3 정보 더 보기/감추기 종이책 리뷰 (57건) eBook 리뷰 (0건) 종이책 한줄평 (64건) eBook 한줄평 (3건),,2025,10,9.3,57.0,0.0,64.0,3.0,124.0
559,147348375,도서,한 권으로 끝내는 해커스 토익 600+ (LC+RC+VOCA),해커스 어학연구소 저,해커스어학연구소,2025년 06월,10,15030,16700.0,830,23664,리뷰 총점9.9 정보 더 보기/감추기 종이책 리뷰 (31건) eBook 리뷰 (0건) 종이책 한줄평 (6건) eBook 한줄평 (0건),,2025,6,9.9,31.0,0.0,6.0,0.0,37.0
560,147178677,도서,단 한 줄만 내 마음에 새긴다고 해도,나민애 저,포레스트북스,2025년 06월,10,21420,23800.0,1190,211188,리뷰 총점9.8 정보 더 보기/감추기 종이책 리뷰 (81건) eBook 리뷰 (0건) 종이책 한줄평 (73건) eBook 한줄평 (0건),,2025,6,9.8,81.0,0.0,73.0,0.0,154.0
561,141709783,도서,프란시스코의 나비,프란시스코 히메네스 저/하정임 역,다른,2025년 02월,10,15120,16800.0,840,11538,리뷰 총점9.6 정보 더 보기/감추기 종이책 리뷰 (5건) eBook 리뷰 (0건) 종이책 한줄평 (6건) eBook 한줄평 (0건),,2025,2,9.6,5.0,0.0,6.0,0.0,11.0
562,141516021,도서,해커스 JLPT N3(일본어능력시험) 한권합격,해커스 JLPT 연구소 저,해커스어학연구소,2025년 01월,10,24300,27000.0,1350,61458,리뷰 총점9.9 정보 더 보기/감추기 종이책 리뷰 (44건) eBook 리뷰 (0건) 종이책 한줄평 (25건) eBook 한줄평 (0건),,2025,1,9.9,44.0,0.0,25.0,0.0,69.0
563,139999483,도서,아이의 뇌,김붕년 저,포레스트북스,2024년 12월,10,16020,17800.0,890,38745,리뷰 총점9.9 정보 더 보기/감추기 종이책 리뷰 (73건) eBook 리뷰 (0건) 종이책 한줄평 (39건) eBook 한줄평 (0건),,2024,12,9.9,73.0,0.0,39.0,0.0,112.0
564,133970239,도서,ETS 토익 단기공략 950+ (LC+RC),ETS 저,YBM(와이비엠),2024년 09월,10,17550,19500.0,970,30612,리뷰 총점9.5 정보 더 보기/감추기 종이책 리뷰 (42건) eBook 리뷰 (0건) 종이책 한줄평 (53건) eBook 한줄평 (0건),,2024,9,9.5,42.0,0.0,53.0,0.0,95.0
565,133809700,도서,퓨처 셀프 30만 부 기념 스페셜 에디션,벤저민 하디 저/최은아 역,상상스퀘어,2024년 09월,10,19800,22000.0,1100,86445,리뷰 총점9.2 정보 더 보기/감추기 종이책 리뷰 (82건) eBook 리뷰 (10건) 종이책 한줄평 (115건) eBook 한줄평 (25건),,2024,9,9.2,82.0,10.0,115.0,25.0,232.0
566,127812923,만화,주술회전 26 일반판,아쿠타미 게게 글그림/이정운 역,서울미디어코믹스(서울문화사),2024년 06월,10,5400,6000.0,300,29928,리뷰 총점9.7 정보 더 보기/감추기 종이책 리뷰 (29건) eBook 리뷰 (44건) 종이책 한줄평 (51건) eBook 한줄평 (68건),,2024,6,9.7,29.0,44.0,51.0,68.0,192.0
567,125992096,도서,빨모쌤의 라이브 영어회화,신용하 저,웅진지식하우스,2024년 04월,10,19800,22000.0,1100,46845,리뷰 총점9.6 정보 더 보기/감추기 종이책 리뷰 (166건) eBook 리뷰 (169건) 종이책 한줄평 (205건) eBook 한줄평 (206건),,2024,4,9.6,166.0,169.0,205.0,206.0,746.0
568,125817034,도서,장수탕 선녀님,백희나 글그림,스토리보울,2024년 04월,10,13500,15000.0,750,26316,리뷰 총점9.6 정보 더 보기/감추기 종이책 리뷰 (33건) eBook 리뷰 (0건) 종이책 한줄평 (16건) eBook 한줄평 (0건),,2024,4,9.6,33.0,0.0,16.0,0.0,49.0
569,125402899,도서,착! 붙는 중국어 독학 첫걸음,"허은진, 츠징위, 중국어공부기술연구소 저",시사중국어사,2024년 03월,10,15120,16800.0,840,32898,리뷰 총점9.8 정보 더 보기/감추기 종이책 리뷰 (34건) eBook 리뷰 (173건) 종이책 한줄평 (17건) eBook 한줄평 (216건),,2024,3,9.8,34.0,173.0,17.0,216.0,440.0
570,125300210,도서,어린이 훈민정음 1-1,성정일 저,시서례,2024년 03월,10,7920,8800.0,440,25698,리뷰 총점9.9 정보 더 보기/감추기 종이책 리뷰 (34건) eBook 리뷰 (0건) 종이책 한줄평 (30건) eBook 한줄평 (0건),,2024,3,9.9,34.0,0.0,30.0,0.0,64.0
571,125184001,만화,주술회전 25 일반판,아쿠타미 게게 글그림/이정운 역,서울미디어코믹스(서울문화사),2024년 02월,10,5400,6000.0,300,28314,리뷰 총점9.7 정보 더 보기/감추기 종이책 리뷰 (57건) eBook 리뷰 (52건) 종이책 한줄평 (110건) eBook 한줄평 (80건),,2024,2,9.7,57.0,52.0,110.0,80.0,299.0
572,120467694,도서,슈퍼 파닉스 한글 1 모음,기적학습연구소 저,길벗스쿨,2023년 08월,10,11700,13000.0,650,14397,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (15건) eBook 리뷰 (0건) 종이책 한줄평 (18건) eBook 한줄평 (0건),,2023,8,10.0,15.0,0.0,18.0,0.0,33.0
573,119882948,도서,김재우의 영어회화 100,김재우 저,상상스퀘어,2023년 07월,10,19800,22000.0,1100,45888,리뷰 총점9.3 정보 더 보기/감추기 종이책 리뷰 (82건) eBook 리뷰 (18건) 종이책 한줄평 (127건) eBook 한줄평 (24건),,2023,7,9.3,82.0,18.0,127.0,24.0,251.0
574,119120517,도서,역행자 확장판,자청 저,웅진지식하우스,2023년 05월,10,17550,19500.0,970,28620,리뷰 총점8.5 정보 더 보기/감추기 종이책 리뷰 (211건) eBook 리뷰 (10건) 종이책 한줄평 (345건) eBook 한줄평 (392건),,2023,5,8.5,211.0,10.0,345.0,392.0,958.0
575,116586056,도서,나미야 잡화점의 기적,히가시노 게이고 저/양윤옥 역,현대문학,2022년 12월,10,16920,18800.0,940,47142,리뷰 총점9.4 정보 더 보기/감추기 종이책 리뷰 (62건) eBook 리뷰 (169건) 종이책 한줄평 (75건) eBook 한줄평 (585건),,2022,12,9.4,62.0,169.0,75.0,585.0,891.0
576,116072475,도서,해커스 토익 실전 1000제 1 LC Listening (리스닝) 문제집,해커스 어학연구소 저,해커스어학연구소,2024년 06월,10,10710,11900.0,590,29445,리뷰 총점9.4 정보 더 보기/감추기 종이책 리뷰 (46건) eBook 리뷰 (5건) 종이책 한줄평 (44건) eBook 한줄평 (9건),,2024,6,9.4,46.0,5.0,44.0,9.0,104.0
577,115275383,도서,왜 나는 너를 사랑하는가,알랭 드 보통 저/정영목 역,청미래,2022년 11월,10,12600,14000.0,700,41244,리뷰 총점9.4 정보 더 보기/감추기 종이책 리뷰 (51건) eBook 리뷰 (0건) 종이책 한줄평 (49건) eBook 한줄평 (0건),,2022,11,9.4,51.0,0.0,49.0,0.0,100.0
578,110657710,도서,꽁꽁꽁 아이스크림,윤정주 글그림,책읽는곰,2022년 07월,10,12600,14000.0,700,12855,리뷰 총점9.9 정보 더 보기/감추기 종이책 리뷰 (49건) eBook 리뷰 (0건) 종이책 한줄평 (63건) eBook 한줄평 (0건),,2022,7,9.9,49.0,0.0,63.0,0.0,112.0
579,108850617,도서,내가 틀릴 수도 있습니다,비욘 나티코 린데블라드 저/토마스 산체스 그림/박미경 역,다산초당,2024년 01월,10,16200,18000.0,900,72414,리뷰 총점9.3 정보 더 보기/감추기 종이책 리뷰 (255건) eBook 리뷰 (15건) 종이책 한줄평 (329건) eBook 한줄평 (126건),,2024,1,9.3,255.0,15.0,329.0,126.0,725.0
580,103990890,도서,제로 투 원 (10주년 기념판),"피터 틸, 블레이크 매스터스 저/이지연 역",한국경제신문사(한경비피),2025년 04월,10,16200,18000.0,900,84969,리뷰 총점9.7 정보 더 보기/감추기 종이책 리뷰 (55건) eBook 리뷰 (0건) 종이책 한줄평 (150건) eBook 한줄평 (0건),,2025,4,9.7,55.0,0.0,150.0,0.0,205.0
581,103937322,도서,안녕! 내 친구 코야,작은북 글/오연진 그림,블루래빗,2021년 08월,10,25650,28500.0,1420,44799,리뷰 총점9.6 정보 더 보기/감추기 종이책 리뷰 (20건) eBook 리뷰 (0건) 종이책 한줄평 (18건) eBook 한줄평 (0건),,2021,8,9.6,20.0,0.0,18.0,0.0,38.0
582,101864763,도서,죽이고 싶은 아이,이꽃님 저,우리학교,2021년 06월,10,11250,12500.0,620,72858,리뷰 총점9.5 정보 더 보기/감추기 종이책 리뷰 (162건) eBook 리뷰 (248건) 종이책 한줄평 (218건) eBook 한줄평 (399건),,2021,6,9.5,162.0,248.0,218.0,399.0,1027.0
583,101757762,도서,해커스 첫토익 LC+RC+VOCA,해커스 토익연구소 저,해커스어학연구소,2024년 08월,10,13410,14900.0,740,21078,리뷰 총점9.8 정보 더 보기/감추기 종이책 리뷰 (31건) eBook 리뷰 (4건) 종이책 한줄평 (38건) eBook 한줄평 (7건),,2024,8,9.8,31.0,4.0,38.0,7.0,80.0
584,101624325,도서,백년허리2 치료편,정선근 저,언탱글링,2021년 05월,10,16650,18500.0,920,65022,리뷰 총점9.7 정보 더 보기/감추기 종이책 리뷰 (93건) eBook 리뷰 (0건) 종이책 한줄평 (173건) eBook 한줄평 (0건),,2021,5,9.7,93.0,0.0,173.0,0.0,266.0
585,96378780,도서,EEA : English for Everyday Activities 일상표현 낭독편,Lawrence J. Zwier 저,Compass Publishing,2020년 12월,10,12600,14000.0,700,18507,리뷰 총점8.9 정보 더 보기/감추기 종이책 리뷰 (66건) eBook 리뷰 (5건) 종이책 한줄평 (107건) eBook 한줄평 (9건),,2020,12,8.9,66.0,5.0,107.0,9.0,187.0
586,90765114,도서,내 어머니 이야기 1~4권 세트,김은성 글그림,문학동네,2020년 06월,10,55800,62000.0,3100,3012,리뷰 총점7.6 정보 더 보기/감추기 종이책 리뷰 (3건) eBook 리뷰 (0건) 종이책 한줄평 (2건) eBook 한줄평 (0건),,2020,6,7.6,3.0,0.0,2.0,0.0,5.0
587,89381473,도서,구름빵,백희나 저,한솔수북,2019년 12월,10,11700,13000.0,650,22833,리뷰 총점9.3 정보 더 보기/감추기 종이책 리뷰 (65건) eBook 리뷰 (0건) 종이책 한줄평 (113건) eBook 한줄평 (0건),,2019,12,9.3,65.0,0.0,113.0,0.0,178.0
588,86545658,도서,지적 대화를 위한 넓고 얕은 지식 1,채사장 저,웨일북,2020년 02월,10,17100,19000.0,950,51138,리뷰 총점9.3 정보 더 보기/감추기 종이책 리뷰 (164건) eBook 리뷰 (16건) 종이책 한줄평 (282건) eBook 한줄평 (237건),,2020,2,9.3,164.0,16.0,282.0,237.0,699.0
589,71932860,도서,시장과 가격 쫌 아는 10대,석혜원 저/신병근 그림,풀빛,2019년 04월,10,11700,13000.0,650,20862,리뷰 총점9.3 정보 더 보기/감추기 종이책 리뷰 (29건) eBook 리뷰 (1건) 종이책 한줄평 (27건) eBook 한줄평 (2건),,2019,4,9.3,29.0,1.0,27.0,2.0,59.0
590,69734145,도서,시간의 계단 1,주영하 저,블라썸,2019년 02월,10,14220,15800.0,790,2076,리뷰 총점9.4 정보 더 보기/감추기 종이책 리뷰 (12건) eBook 리뷰 (0건) 종이책 한줄평 (25건) eBook 한줄평 (0건),,2019,2,9.4,12.0,0.0,25.0,0.0,37.0
591,45514480,도서,5초의 법칙,멜 로빈스 저/정미화 역,한빛비즈,2017년 09월,10,15750,17500.0,870,7170,리뷰 총점9.7 정보 더 보기/감추기 종이책 리뷰 (68건) eBook 리뷰 (5건) 종이책 한줄평 (544건) eBook 한줄평 (28건),,2017,9,9.7,68.0,5.0,544.0,28.0,645.0
592,43862350,도서,우리는 언제나 다시 만나,윤여림 글/안녕달 그림,위즈덤하우스,2017년 07월,10,10800,12000.0,600,208608,리뷰 총점9.8 정보 더 보기/감추기 종이책 리뷰 (306건) eBook 리뷰 (0건) 종이책 한줄평 (356건) eBook 한줄평 (3건),,2017,7,9.8,306.0,0.0,356.0,3.0,665.0
593,29074412,도서,시지프 신화,알베르 까뮈 저/김화영 역,민음사,2016년 06월,10,10800,12000.0,600,32052,리뷰 총점9.8 정보 더 보기/감추기 종이책 리뷰 (70건) eBook 리뷰 (162건) 종이책 한줄평 (111건) eBook 한줄평 (230건),,2016,6,9.8,70.0,162.0,111.0,230.0,573.0
